,Year,ACE
0,1950,160.2
1,1951,283.4
2,1952,338.0
3,1953,362.6
4,1954,305.5
5,1955,249.8
6,1956,305.6
7,1957,440.2
8,1958,445.8
9,1959,397.6
10,1960,326.7
11,1961,365.6
12,1962,423.0
13,1963,386.0
14,1964,403.1
15,1965,436.3
16,1966,302.2
17,1967,398.1
18,1968,356.8
19,1969,203.7
20,1970,287.5
21,1971,380.2
22,1972,413.0
23,1973,148.1
24,1974,205.3
25,1975,171.0
26,1976,301.3
27,1977,164.1
28,1978,236.8
29,1979,278.4
30,1980,237.8
31,1981,227.0
32,1982,356.1
33,1983,219.7
34,1984,274.0
35,1985,231.2
36,1986,334.2
37,1987,356.5
38,1988,227.9
39,1989,305.0
40,1990,377.8
41,1991,414.3
42,1992,470.1
43,1993,267.1
44,1994,454.6
45,1995,255.1
46,1996,416.5
47,1997,570.4
48,1998,152.9
49,1999,109.9
50,2000,252.9
51,2001,307.3
52,2002,390.6
53,2003,337.4
54,2004,480.6
55,2005,309.9
56,2006,321.3
57,2007,219.5
58,2008,178.4
59,2009,278.1
60,2010,121.4
61,2011,189.7
62,2012,302.3
63,2013,276.3
64,2014,277.8
65,2015,462.9
66,2016,261.9
67,2017,169.4
68,2018,334.7
69,2019,269.4
70,2020,148.5
